lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;c_0001;v_3;Einverst_Bedingungen;v_132_alter;v_133_Geschlecht;dupl1_svo1;dupl1_svo2;dupl1_svo3;dupl1_svo4;dupl1_svo5;dupl1_svo6;svo7;svo8;svo9;svo10;svo11;svo12;svo13;svo14;svo15;svo16;svo17;svo18;svo19;svo20;svo21;svo22;svo23;svo24;v_130_Instrukt_SVO;v_131_instrukt_SVO;v_57_ase_item_1;v_59_ASE_1_A;v_60_ASE_1_B;v_136_ase_Item_2;v_137_Item_2_A;v_138_Item_2_B;v_139_ase_Item_3;v_140_item3A;v_141_item3_b;v_142_ase_item4;v_143_ase_Item4A;v_144_ase_item4B;v_145_ase_item5;v_146_ase_item5A;v_147_ase_item5B;v_148_ase_item6;v_149_ase_item6A;v_150_ase_item6B;v_151_ase_item7;v_152_ase_item7A;v_153_ase_item7B;v_154_ase_item8;v_155_ase_item8A;v_156_ase_item8B;v_157_ase_item9;v_158_ase_item9A;v_159_ase_item9B;v_160_ase_item10;v_161_ase_item10A;v_162_ase_item10B;v_163_ase_item11;v_164_ase_item11A;v_165_ase_item11B;v_166_ase_item12;v_167_ase_item12A;v_168_ase_item12B;v_169_ase_item13;v_170_ase_item13A;v_171_ase_item13B;v_172_ase_item14;v_173_ase_item14A;v_174_ase_item14B;v_175_ase_item15;v_176_ase_item15A;v_177_ase_item15B;v_178_ase_item16;v_179_ase_item16A;v_180_ase_item16B;v_181_ase_item17;v_182_ase_item17A;v_183_ase_item17B;v_184_ase_item18;v_185_ase_item18A;v_186_ase_item18B;v_187_ase_item19;v_188_ase_item19A;v_189_ase_item19B;v_190_ase_item20;v_191_ase_item20A;v_192_ase_item20B;v_193_ase_item21;v_194_ase_item21A;v_195_ase_item21B;v_196_ase_item22;v_197_ase_iteam22A;v_198_ase_item22B;v_199_ase_item23;v_200_ase_item23A;v_201_ase_item23B;v_202_ase_item24;v_203_ase_item24A;v_204_ase_item24B;v_11;v_8;device_type;participant_browser;participant_browser_version;participant_os;participant_device;participant_brand;participant_model;participant_isbot;participant_continent;participant_country;participant_region;participant_city;participant_latitude;participant_longitude;quota;quota_assignment;page_history;hflip;vflip;output_mode;javascript;flash;session_id;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts3775073;rts3775076;rts3775078;rts3784671;rts3799655;rts3813907;rts3813922;rts3818110;rts3819678;rts3842819;rts3842822;rts3842825;rts3842828;rts3842830;rts3842832;rts3842833;rts3842835;rts3842837;rts3842838;rts3842840;rts3842842;rts3842857;rts3842859;rts3842861;rts3842862;rts3842864;rts3842866;rts3842870;rts3842872;rts3842874;rts3842875;rts3842877;rts3842879;rts3842880;rts3842882;rts3842884;rts3842886;rts3842888;rts3842890;rts3842891;rts3842893;rts3842895;rts3842900;rts3842902;rts3842904;rts3842905;rts3842907;rts3842909;rts3842910;rts3842912;rts3842914;rts3842915;rts3842917;rts3842919;rts3842920;rts3842922;rts3842924;rts3842925;rts3842927;rts3842929;rts3842932;rts3842934;rts3842936;rts3842937;rts3842939;rts3842941;rts3842942;rts3842944;rts3842946;rts3842947;rts3842949;rts3842951;rts3842955;rts3842957;rts3842959;rts3842966;rts3842968;rts3842970;rnd_pg_3821863_1;rnd_pg_3821863_2;rnd_pg_3821863_3;rnd_pg_3821863_4;rnd_pg_3821863_5;rnd_pg_3821863_6;rnd_pg_3821863_7;rnd_pg_3821863_8;rnd_pg_3821863_9;rnd_pg_3821863_10;rnd_pg_3821863_11;rnd_pg_3821863_12;rnd_pg_3821863_13;rnd_pg_3821863_14;rnd_pg_3821863_15;rnd_pg_3821863_16;rnd_pg_3821863_17;rnd_pg_3821863_18;rnd_pg_3821863_19;rnd_pg_3821863_20;rnd_pg_3821863_21;rnd_pg_3821863_22;rnd_pg_3821863_23;rnd_pg_3821863_24
213;0;0;31;3775080;-77;649;2;1;1;20;1;2;1;1;2;2;2;2;1;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;2;1;1;4;4;-77;4;4;-77;4;4;-77;1;1;-77;2;-77;1;1;1;-77;4;4;-77;4;4;-77;1;1;-77;1;1;-77;4;4;-77;1;1;-77;4;4;-77;1;2;-77;1;1;-77;1;1;-77;1;1;-77;3;-77;3;1;1;-77;1;1;-77;4;4;-77;3;-77;3;2;-77;2;2;-77;2;1;1;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3784671,3818110,3821863,3842838,3842839,3842841,3842842,3842886,3842887,3842888,3842889,3842891,3842892,3842893,3842894,3842910,3842911,3842912,3842913,3842870,3842871,3842872,3842873,3842857,3842858,3842859,3842860,3842828,3842829,3842830,3842831,3842925,3842926,3842928,3842929,3842862,3842863,3842864,3842865,3842900,3842901,3842902,3842903,3842955,3842956,3842958,3842959,3842875,3842876,3842877,3842878,3842833,3842834,3842835,3842836,3842937,3842938,3842939,3842940,3842905,3842906,3842907,3842908,3842942,3842943,3842944,3842945,3842920,3842921,3842922,3842923,3842880,3842881,3842882,3842883,3842819,3842821,3842822,3842824,3842915,3842916,3842917,3842918,3799655,3813906,3813907,3813921,3842947,3842948,3842950,3842951,3842932,3842933,3842934,3842935,3842966,3842967,3842969,3842970,3775078,3775080;0;0;0;-77;-77;b6e82c8c551408a9e0d5e26d3df9085a;1;0;1574681110;25.11.2019 11:25;25.11.2019 11:35;0000-00-00 00:00:00;21;0;649;208;600;604;0;306;28;578;581;0;411;420;0;500;505;0;319;0;329;396;400;0;449;454;0;384;389;0;489;494;0;567;571;0;336;347;0;354;362;0;464;468;0;521;529;0;370;374;0;590;593;0;552;560;0;436;0;444;625;629;0;510;515;0;537;547;0;611;0;615;475;0;479;637;0;641;3842838;3842886;3842891;3842910;3842870;3842857;3842828;3842925;3842862;3842900;3842955;3842875;3842833;3842937;3842905;3842942;3842920;3842880;3842819;3842915;3799655;3842947;3842932;3842966
214;0;0;31;3775080;-77;510;2;1;1;23;1;2;2;1;2;2;2;2;1;1;1;1;1;1;1;2;2;1;2;1;2;1;2;1;2;2;1;1;1;-77;2;-77;1;2;-77;2;3;-77;3;3;-77;3;4;3;-77;4;4;-77;3;-77;4;2;-77;2;4;4;-77;2;-77;1;1;1;-77;1;1;-77;4;4;-77;1;1;-77;1;1;-77;4;4;-77;4;4;-77;1;1;-77;4;4;-77;3;-77;3;3;-77;4;2;-77;1;1;2;-77;1;1;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3784671,3818110,3821863,3842905,3842906,3842907,3842908,3842870,3842871,3842873,3842874,3842819,3842821,3842824,3842825,3842891,3842892,3842893,3842894,3842920,3842921,3842922,3842923,3842915,3842916,3842917,3842918,3842925,3842926,3842927,3842928,3842910,3842911,3842912,3842913,3842857,3842858,3842859,3842860,3842932,3842933,3842934,3842935,3842880,3842881,3842882,3842883,3842828,3842829,3842831,3842832,3842838,3842839,3842841,3842842,3842955,3842956,3842958,3842959,3842886,3842887,3842889,3842890,3842942,3842943,3842945,3842946,3842966,3842967,3842968,3842969,3842833,3842834,3842836,3842837,3842947,3842948,3842950,3842951,3842900,3842901,3842902,3842903,3799655,3813906,3813907,3813921,3842937,3842938,3842939,3842940,3842862,3842863,3842864,3842865,3842875,3842876,3842878,3842879,3775078,3775080;1;1;0;-77;-77;81afeb09769ea9beec2fbe69ae153a48;1;0;1574684449;25.11.2019 12:20;25.11.2019 12:29;0000-00-00 00:00:00;9;0;510;196;467;471;0;252;16;281;0;285;382;0;386;437;0;445;391;0;396;347;357;0;485;489;0;273;0;277;495;0;503;374;377;0;411;0;414;290;295;0;459;463;0;261;269;0;335;340;0;314;318;0;302;308;0;322;331;0;364;368;0;474;479;0;419;0;423;449;0;455;401;0;406;428;433;0;3842905;3842870;3842819;3842891;3842920;3842915;3842925;3842910;3842857;3842932;3842880;3842828;3842838;3842955;3842886;3842942;3842966;3842833;3842947;3842900;3799655;3842937;3842862;3842875
286;0;0;31;3775080;-77;938;1;1;1;37;2;2;1;1;2;2;2;2;1;1;1;1;2;1;1;2;2;1;2;1;2;1;2;1;2;1;1;1;1;-77;4;4;-77;1;1;-77;4;4;-77;2;-77;2;4;4;-77;1;1;-77;4;4;-77;1;1;-77;1;1;-77;4;4;-77;1;1;-77;4;4;-77;4;3;-77;4;4;-77;1;2;-77;1;2;-77;4;4;-77;1;1;-77;1;1;-77;2;-77;2;4;4;-77;2;-77;1;4;4;-77;1;1;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3784671,3818110,3821863,3842920,3842921,3842922,3842923,3842891,3842892,3842893,3842894,3842828,3842829,3842830,3842831,3842915,3842916,3842917,3842918,3842905,3842906,3842907,3842908,3842880,3842881,3842882,3842883,3842862,3842863,3842864,3842865,3842942,3842943,3842945,3842946,3842910,3842911,3842912,3842913,3842955,3842956,3842958,3842959,3842857,3842858,3842859,3842860,3842900,3842901,3842902,3842903,3842932,3842933,3842934,3842935,3842833,3842834,3842835,3842836,3842819,3842821,3842822,3842824,3842925,3842926,3842927,3842928,3799655,3813906,3813907,3813921,3842947,3842948,3842949,3842950,3842937,3842938,3842939,3842940,3842875,3842876,3842877,3842878,3842886,3842887,3842888,3842889,3842838,3842839,3842841,3842842,3842966,3842967,3842968,3842969,3842870,3842871,3842872,3842873,3775078,3775080;0;0;0;-77;-77;257d550e0db3227d7000eaae5183ea4d;1;0;1575106014;30.11.2019 09:26;30.11.2019 09:42;0000-00-00 00:00:00;33;0;937;347;813;818;0;489;43;787;796;0;568;575;0;776;780;0;889;0;901;736;740;0;643;648;0;918;923;0;847;852;0;628;634;0;860;875;0;546;554;0;746;754;0;610;620;0;690;697;0;593;603;0;512;532;0;802;806;0;763;770;0;836;840;0;662;0;675;825;830;0;711;0;727;908;913;0;3842920;3842891;3842828;3842915;3842905;3842880;3842862;3842942;3842910;3842955;3842857;3842900;3842932;3842833;3842819;3842925;3799655;3842947;3842937;3842875;3842886;3842838;3842966;3842870
215;0;0;31;3775080;-77;588;1;1;1;38;1;2;2;1;2;2;2;2;1;1;1;1;1;1;1;2;2;1;2;1;2;2;2;1;1;1;2;3;-77;3;1;1;-77;2;-77;2;3;-77;3;2;-77;1;3;-77;3;2;-77;1;3;-77;3;4;4;-77;2;-77;2;3;-77;4;1;1;-77;1;1;-77;1;1;-77;4;3;-77;2;-77;1;3;-77;3;4;4;-77;4;3;-77;1;1;-77;3;-77;3;3;-77;4;3;-77;4;1;2;-77;1;1;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3819678,3819678,3784671,3818110,3821863,3842886,3842887,3842889,3842890,3842890,3842890,3842891,3842892,3842893,3842894,3842942,3842943,3842945,3842946,3799655,3813906,3813921,3813922,3842915,3842916,3842918,3842919,3842966,3842967,3842968,3842969,3842937,3842937,3842937,3842938,3842939,3842940,3842857,3842858,3842860,3842861,3842838,3842839,3842841,3842842,3842900,3842901,3842902,3842903,3842862,3842863,3842865,3842866,3842932,3842933,3842934,3842935,3842955,3842956,3842958,3842959,3842910,3842911,3842912,3842913,3842880,3842881,3842883,3842884,3842925,3842926,3842927,3842928,3842875,3842876,3842877,3842877,3842877,3842878,3842920,3842921,3842923,3842924,3842905,3842906,3842907,3842907,3842907,3842908,3842870,3842871,3842873,3842874,3842833,3842834,3842836,3842837,3842819,3842821,3842822,3842824,3842828,3842829,3842831,3842832,3842947,3842948,3842950,3842951,3842951,3775078,3775078,3775078,3775080;0;1;0;-77;-77;e2dd4cdb09ca1676407970978a1d47c1;1;0;1574688048;25.11.2019 13:20;25.11.2019 13:30;0000-00-00 00:00:00;4;0;587;199;341;0;345;262;15;557;562;0;566;0;569;547;0;551;402;0;407;396;0;398;421;0;424;532;0;535;472;477;0;459;0;461;275;0;299;308;311;0;413;417;0;520;525;0;450;453;0;351;0;361;512;0;515;466;468;0;429;433;0;385;390;0;322;0;331;575;0;580;442;0;445;366;375;0;3842886;3842891;3842942;3799655;3842915;3842966;3842937;3842857;3842838;3842900;3842862;3842932;3842955;3842910;3842880;3842925;3842875;3842920;3842905;3842870;3842833;3842819;3842828;3842947
216;0;0;31;3775080;-77;885;2;1;1;28;1;2;1;1;2;1;2;2;1;1;1;1;2;1;1;2;2;1;2;1;2;1;2;1;2;1;1;1;1;-77;4;4;-77;1;1;-77;1;1;-77;1;1;-77;1;1;-77;1;1;-77;4;4;-77;4;4;-77;1;1;-77;1;2;-77;1;1;-77;4;4;-77;1;1;-77;4;4;-77;4;4;-77;1;1;-77;1;2;-77;4;4;-77;4;4;-77;1;1;-77;1;1;-77;4;4;-77;4;4;-77;1;1;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3784671,3818110,3821863,3799655,3813906,3813907,3813921,3842819,3842821,3842822,3842824,3842870,3842871,3842872,3842873,3842955,3842956,3842957,3842958,3842886,3842887,3842888,3842889,3842937,3842938,3842939,3842940,3842915,3842916,3842917,3842918,3842910,3842911,3842912,3842913,3842900,3842901,3842902,3842903,3842905,3842906,3842907,3842908,3842828,3842829,3842830,3842831,3842833,3842834,3842835,3842836,3842838,3842839,3842840,3842841,3842875,3842876,3842877,3842878,3842932,3842933,3842934,3842935,3842942,3842943,3842944,3842944,3842944,3842945,3842920,3842921,3842922,3842923,3842925,3842926,3842927,3842928,3842862,3842863,3842864,3842864,3842864,3842865,3842880,3842881,3842882,3842883,3842857,3842858,3842859,3842860,3842891,3842892,3842893,3842894,3842966,3842967,3842968,3842969,3842947,3842948,3842949,3842950,3775078,3775080;0;0;0;-77;-77;861406f1b2c6aa1abf6ae28eccfa3f43;1;0;1574691846;25.11.2019 14:24;25.11.2019 14:38;0000-00-00 00:00:00;6;0;885;338;533;542;0;518;12;547;555;0;716;719;0;726;732;0;737;745;0;850;853;0;809;820;0;566;587;0;749;756;0;832;847;0;619;645;0;856;859;0;692;698;0;704;712;0;681;687;0;668;677;0;784;791;0;794;803;0;761;764;0;650;659;0;768;779;0;872;876;0;596;605;0;864;868;0;3799655;3842819;3842870;3842955;3842886;3842937;3842915;3842910;3842900;3842905;3842828;3842833;3842838;3842875;3842932;3842942;3842920;3842925;3842862;3842880;3842857;3842891;3842966;3842947
217;0;0;31;3775080;-77;1058;1;1;1;25;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;2;2;1;2;1;2;1;2;1;2;2;2;4;3;-77;2;-77;1;2;-77;2;4;4;-77;3;-77;4;2;-77;2;1;2;-77;2;-77;1;3;-77;3;2;-77;2;3;-77;4;4;4;-77;4;4;-77;3;-77;4;4;3;-77;4;4;-77;2;-77;2;3;-77;4;4;4;-77;1;1;-77;2;-77;1;2;-77;1;2;-77;1;2;-77;1;1;2;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3784671,3818110,3821863,3842966,3842967,3842969,3842970,3842937,3842938,3842939,3842939,3842939,3842940,3842819,3842821,3842824,3842825,3842947,3842948,3842950,3842951,3842833,3842834,3842835,3842836,3842942,3842943,3842945,3842946,3842891,3842892,3842893,3842894,3842925,3842926,3842928,3842929,3842955,3842956,3842958,3842959,3842857,3842858,3842860,3842861,3842838,3842839,3842841,3842842,3842920,3842921,3842923,3842924,3842862,3842863,3842864,3842865,3842905,3842906,3842908,3842909,3842910,3842911,3842912,3842913,3842880,3842881,3842883,3842884,3842875,3842876,3842878,3842879,3842828,3842829,3842831,3842832,3842900,3842901,3842902,3842903,3842932,3842933,3842934,3842935,3842886,3842887,3842889,3842890,3842870,3842871,3842873,3842874,3842915,3842916,3842917,3842918,3799655,3813906,3813907,3813921,3775078,3775080;0;0;0;-77;-77;85d0e4cd3e3084add5cdb0f52523fb27;1;0;1574692700;25.11.2019 14:38;25.11.2019 14:55;0000-00-00 00:00:00;4;0;1058;418;1049;1052;0;648;9;825;0;828;1012;0;1015;918;922;0;964;0;968;956;0;961;976;981;0;1035;0;1039;1005;0;1008;997;0;1000;1029;0;1032;935;939;0;1018;1021;0;985;0;988;992;994;0;1042;1046;0;971;0;974;944;0;947;1023;1026;0;807;819;0;926;0;930;833;0;836;950;0;953;781;0;799;3842966;3842937;3842819;3842947;3842833;3842942;3842891;3842925;3842955;3842857;3842838;3842920;3842862;3842905;3842910;3842880;3842875;3842828;3842900;3842932;3842886;3842870;3842915;3799655
218;0;0;31;3775080;-77;223;1;1;1;28;2;1;1;2;2;1;2;1;2;1;2;2;2;1;1;1;2;2;2;2;1;2;2;1;2;2;1;4;4;-77;2;-77;2;2;-77;2;3;-77;3;2;-77;2;2;-77;2;3;-77;3;4;4;-77;3;-77;3;2;-77;2;3;-77;4;4;4;-77;3;-77;3;3;-77;3;2;-77;2;3;-77;3;2;-77;2;2;-77;2;3;-77;3;2;-77;2;2;-77;2;4;4;-77;3;-77;3;3;-77;3;1;1;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3784671,3784671,3784671,3818110,3821863,3842966,3842967,3842969,3842970,3842833,3842834,3842836,3842837,3842955,3842956,3842958,3842959,3842932,3842933,3842935,3842936,3842880,3842881,3842883,3842884,3842900,3842901,3842903,3842904,3842875,3842876,3842878,3842879,3842925,3842926,3842928,3842929,3842862,3842863,3842865,3842866,3842937,3842938,3842940,3842941,3842838,3842839,3842841,3842842,3842828,3842829,3842831,3842832,3842915,3842916,3842918,3842919,3842942,3842943,3842945,3842946,3842905,3842906,3842908,3842909,3842910,3842911,3842913,3842914,3842870,3842871,3842872,3842873,3842886,3842887,3842889,3842890,3842920,3842921,3842923,3842924,3842947,3842948,3842949,3842950,3842819,3842821,3842824,3842825,3842891,3842892,3842893,3842894,3842857,3842858,3842860,3842861,3799655,3813906,3813907,3813921,3775078,3775080;1;0;0;-77;-77;84f8d8b311817ac4bde0f074ef072943;1;0;1574693281;25.11.2019 14:48;25.11.2019 14:51;0000-00-00 00:00:00;5;0;223;69;216;219;0;89;11;205;0;206;161;0;163;98;0;101;157;0;159;212;0;214;141;0;144;186;188;0;129;0;133;116;0;119;190;0;193;208;210;0;124;0;126;177;0;179;182;0;184;166;0;169;196;0;199;136;0;138;109;0;112;149;0;152;171;0;174;201;202;0;104;0;107;93;0;96;3842966;3842833;3842955;3842932;3842880;3842900;3842875;3842925;3842862;3842937;3842838;3842828;3842915;3842942;3842905;3842910;3842870;3842886;3842920;3842947;3842819;3842891;3842857;3799655
219;0;0;31;3775080;-77;1475;2;1;1;45;1;2;2;1;2;2;2;2;1;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;2;1;1;1;1;-77;4;4;-77;2;-77;1;1;1;-77;4;4;-77;1;1;-77;1;1;-77;4;4;-77;3;-77;3;1;1;-77;1;1;-77;4;4;-77;3;-77;3;4;4;-77;1;1;-77;3;-77;3;4;4;-77;1;1;-77;1;1;-77;1;1;-77;4;4;-77;3;-77;4;4;4;-77;3;-77;3;1;1;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3784671,3818110,3821863,3842947,3842948,3842950,3842951,3842838,3842839,3842840,3842841,3842966,3842967,3842969,3842970,3842828,3842829,3842831,3842832,3842910,3842911,3842912,3842913,3842819,3842821,3842822,3842824,3842900,3842901,3842903,3842904,3842915,3842916,3842918,3842919,3842891,3842892,3842893,3842894,3842870,3842871,3842872,3842872,3842872,3842873,3842862,3842863,3842864,3842865,3842955,3842956,3842957,3842958,3842875,3842876,3842878,3842879,3842925,3842926,3842927,3842928,3842942,3842943,3842944,3842945,3842905,3842906,3842907,3842908,3842886,3842887,3842888,3842889,3842932,3842933,3842934,3842935,3842833,3842834,3842835,3842836,3842920,3842921,3842922,3842923,3842880,3842881,3842882,3842883,3799655,3813906,3813907,3813921,3842937,3842938,3842939,3842940,3842857,3842858,3842859,3842860,3775078,3775080;0;0;0;-77;-77;8fce230e15d7cb2d06c26128edc0365c;1;0;1574694861;25.11.2019 15:14;25.11.2019 15:38;0000-00-00 00:00:00;12;0;1475;664;1437;1442;0;848;21;1024;1031;0;953;0;973;1379;1389;0;911;924;0;1458;1465;0;1134;1140;0;1108;1125;0;1176;0;1182;1420;1427;0;1347;1353;0;1089;1095;0;1043;0;1055;1332;1339;0;985;993;0;1067;0;1077;1395;1410;0;1193;1202;0;1365;1371;0;1447;1453;0;1209;1217;0;878;0;899;1152;1161;0;936;0;944;3842947;3842838;3842966;3842828;3842910;3842819;3842900;3842915;3842891;3842870;3842862;3842955;3842875;3842925;3842942;3842905;3842886;3842932;3842833;3842920;3842880;3799655;3842937;3842857
220;0;0;31;3775080;-77;450;1;1;1;54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;2;-77;2;1;1;-77;1;1;-77;3;-77;3;1;1;-77;1;1;-77;4;4;-77;3;-77;4;3;-77;3;1;1;-77;1;1;-77;3;-77;3;1;1;-77;1;1;-77;3;-77;3;3;-77;3;4;4;-77;4;4;-77;3;-77;3;3;-77;3;2;-77;2;4;4;-77;3;-77;3;1;1;-77;2;2;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775075,3819678,3784671,3818110,3821863,3842905,3842905,3842905,3842906,3842907,3842908,3842880,3842881,3842882,3842883,3842910,3842911,3842913,3842914,3842857,3842857,3842857,3842858,3842859,3842860,3842955,3842956,3842958,3842959,3842838,3842839,3842840,3842841,3842819,3842821,3842822,3842824,3842900,3842901,3842902,3842903,3842891,3842892,3842894,3842895,3842966,3842967,3842968,3842969,3842886,3842887,3842888,3842889,3842915,3842916,3842918,3842919,3842932,3842933,3842935,3842936,3842937,3842938,3842940,3842941,3842833,3842834,3842836,3842837,3842828,3842829,3842830,3842831,3842875,3842876,3842878,3842879,3842870,3842870,3842870,3842871,3842873,3842874,3799655,3813906,3813921,3813922,3842925,3842926,3842927,3842928,3842920,3842921,3842922,3842923,3842942,3842943,3842945,3842946,3842946,3842946,3842947,3842948,3842949,3842950,3842862,3842863,3842864,3842865,3775078,3775080;0;1;0;-77;-77;a8445c2f8d71e9ab3924a12ae2e98320;1;0;1574694987;25.11.2019 15:16;25.11.2019 15:23;0000-00-00 00:00:00;4;0;450;358;432;0;433;361;8;396;397;0;421;422;0;417;0;419;391;393;0;376;377;0;446;447;0;429;0;431;424;0;426;368;370;0;407;408;0;402;0;403;399;400;0;366;367;0;371;0;373;410;0;411;436;437;0;434;435;0;412;0;414;415;0;416;438;0;441;443;444;0;389;0;390;405;406;0;3842905;3842880;3842910;3842857;3842955;3842838;3842819;3842900;3842891;3842966;3842886;3842915;3842932;3842937;3842833;3842828;3842875;3842870;3799655;3842925;3842920;3842942;3842947;3842862
221;0;0;31;3775080;-77;413;2;1;1;31;1;2;2;1;2;1;2;2;2;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;2;1;1;2;-77;2;3;-77;4;2;-77;2;3;-77;4;2;-77;1;4;4;-77;3;-77;4;3;-77;4;2;-77;2;3;-77;3;4;3;-77;4;3;-77;4;3;-77;4;3;-77;2;-77;2;1;2;-77;3;-77;4;2;-77;2;4;3;-77;1;2;-77;2;-77;1;4;3;-77;3;-77;3;1;2;-77;1;1;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;3775073,3775073,3775073,3775075,3819678,3784671,3818110,3821863,3842828,3842829,3842831,3842832,3842932,3842933,3842934,3842935,3842838,3842839,3842841,3842842,3842915,3842916,3842917,3842918,3842905,3842906,3842907,3842908,3842886,3842887,3842888,3842889,3842955,3842956,3842958,3842959,3842920,3842921,3842923,3842924,3842966,3842967,3842968,3842969,3842862,3842863,3842865,3842866,3799655,3813906,3813921,3813922,3842891,3842892,3842893,3842894,3842870,3842871,3842873,3842874,3842937,3842938,3842939,3842940,3842819,3842821,3842824,3842825,3842833,3842834,3842836,3842837,3842947,3842948,3842949,3842950,3842900,3842901,3842902,3842903,3842875,3842876,3842878,3842879,3842910,3842911,3842913,3842914,3842857,3842858,3842859,3842860,3842880,3842881,3842883,3842884,3842942,3842943,3842945,3842946,3842925,3842926,3842928,3842929,3775078,3775080;0;0;0;-77;-77;7bd7dc030aaa11a4b97b68a816786acc;1;0;1574695181;25.11.2019 15:19;25.11.2019 15:26;0000-00-00 00:00:00;29;0;413;183;312;0;315;227;34;337;0;339;232;0;239;342;0;345;251;0;255;383;388;0;305;0;309;325;0;328;365;0;370;391;0;394;275;278;0;319;321;0;356;361;0;266;270;0;374;0;379;259;263;0;291;0;294;404;0;408;244;247;0;331;334;0;396;0;400;348;352;0;282;0;287;297;302;0;3842828;3842932;3842838;3842915;3842905;3842886;3842955;3842920;3842966;3842862;3799655;3842891;3842870;3842937;3842819;3842833;3842947;3842900;3842875;3842910;3842857;3842880;3842942;3842925
