"","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Datenschutz","SVO_demo_choice","1_SVO_choice","1_SVO_time_First Click","1_SVO_time_Last Click","1_SVO_time_Page Submit","1_SVO_time_Click Count","2_SVO_choice","2_SVO_time_First Click","2_SVO_time_Last Click","2_SVO_time_Page Submit","2_SVO_time_Click Count","3_SVO_choice","3_SVO_time_First Click","3_SVO_time_Last Click","3_SVO_time_Page Submit","3_SVO_time_Click Count","4_SVO_choice","4_SVO_time_First Click","4_SVO_time_Last Click","4_SVO_time_Page Submit","4_SVO_time_Click Count","5_SVO_choice","5_SVO_time_First Click","5_SVO_time_Last Click","5_SVO_time_Page Submit","5_SVO_time_Click Count","6_SVO_choice","6_SVO_time_First Click","6_SVO_time_Last Click","6_SVO_time_Page Submit","6_SVO_time_Click Count","7_SVO_choice","7_SVO_time_First Click","7_SVO_time_Last Click","7_SVO_time_Page Submit","7_SVO_time_Click Count","8_SVO_choice","8_SVO_time_First Click","8_SVO_time_Last Click","8_SVO_time_Page Submit","8_SVO_time_Click Count","9_SVO_choice","9_SVO_time_First Click","9_SVO_time_Last Click","9_SVO_time_Page Submit","9_SVO_time_Click Count","10_SVO_choice","10_SVO_time_First Click","10_SVO_time_Last Click","10_SVO_time_Page Submit","10_SVO_time_Click Count","11_SVO_choice","11_SVO_time_First Click","11_SVO_time_Last Click","11_SVO_time_Page Submit","11_SVO_time_Click Count","12_SVO_choice","12_SVO_time_First Click","12_SVO_time_Last Click","12_SVO_time_Page Submit","12_SVO_time_Click Count","13_SVO_choice","13_SVO_time_First Click","13_SVO_time_Last Click","13_SVO_time_Page Submit","13_SVO_time_Click Count","14_SVO_choice","14_SVO_time_First Click","14_SVO_time_Last Click","14_SVO_time_Page Submit","14_SVO_time_Click Count","15_SVO_choice","15_SVO_time_First Click","15_SVO_time_Last Click","15_SVO_time_Page Submit","15_SVO_time_Click Count","16_SVO_choice","16_SVO_time_First Click","16_SVO_time_Last Click","16_SVO_time_Page Submit","16_SVO_time_Click Count","17_SVO_choice","17_SVO_time_First Click","17_SVO_time_Last Click","17_SVO_time_Page Submit","17_SVO_time_Click Count","18_SVO_choice","18_SVO_time_First Click","18_SVO_time_Last Click","18_SVO_time_Page Submit","18_SVO_time_Click Count","19_SVO_choice","19_SVO_time_First Click","19_SVO_time_Last Click","19_SVO_time_Page Submit","19_SVO_time_Click Count","20_SVO_choice","20_SVO_time_First Click","20_SVO_time_Last Click","20_SVO_time_Page Submit","20_SVO_time_Click Count","21_SVO_choice","21_SVO_time_First Click","21_SVO_time_Last Click","21_SVO_time_Page Submit","21_SVO_time_Click Count","22_SVO_choice","22_SVO_time_First Click","22_SVO_time_Last Click","22_SVO_time_Page Submit","22_SVO_time_Click Count","23_SVO_choice","23_SVO_time_First Click","23_SVO_time_Last Click","23_SVO_time_Page Submit","23_SVO_time_Click Count","24_SVO_choice","24_SVO_time_First Click","24_SVO_time_Last Click","24_SVO_time_Page Submit","24_SVO_time_Click Count","Sex","Age","Pres_Orig","Loop_count","Pres_Orig_1","Pres_Orig_2","Pres_Orig_3","Pres_Orig_4","Pres_Orig_5","Pres_Orig_6","Pres_Orig_7","Pres_Orig_8","Pres_Orig_9","Pres_Orig_10","Pres_Orig_11","Pres_Orig_12","Pres_Orig_13","Pres_Orig_14","Pres_Orig_15","Pres_Orig_16","Pres_Orig_17","Pres_Orig_18","Pres_Orig_19","Pres_Orig_20","Pres_Orig_21","Pres_Orig_22","Pres_Orig_23","Pres_Orig_24","Trial_1","Trial_2","Trial_3","Trial_4","Trial_5","Trial_6","Trial_7","Trial_8","Trial_9","Trial_10","Trial_11","Trial_12","Trial_13","Trial_14","Trial_15","Trial_16","Trial_17","Trial_18","Trial_19","Trial_20","Trial_21","Trial_22","Trial_23","Trial_24","DeviceIdentifier"
"1","2021-07-16 13:45:17","2021-07-16 13:54:55","IP Address","100","577","True","2021-07-16 13:54:56","R_2zV0UwcP3cR4wtV","anonymous","DE","Ich stimme zu","Rechte Option","Rechte Option","1.928","3.298","3.679","2","Rechte Option","4.088","15.581","19.235","7","Linke Option","5.019","5.019","6.685","1","Linke Option","12.861","12.861","15.786","1","Rechte Option","4.701","16.561","17.421","6","Linke Option","8.281","8.281","10.081","1","Linke Option","8.71","9.461","9.83","2","Rechte Option","4.325","23.396","24.118","6","Rechte Option","4.01","30.769","31.086","5","Rechte Option","8.158","8.158","10.513","1","Linke Option","31.722","40.465","41.384","3","Rechte Option","3.167","4.166","4.792","3","Rechte Option","6.151","19.329","20.341","6","Rechte Option","8.102","8.102","10.181","1","Linke Option","8.453","9.558","10.527","2","Linke Option","12.973","12.973","14.596","1","Linke Option","7.208","33.291","34.122","10","Linke Option","9.054","9.054","10.541","1","Linke Option","5.118","6.129","7.755","2","Rechte Option","58.851","66.901","67.71","10","Linke Option","3.754","3.754","5.227","1","Rechte Option","10.674","15.25","18.666","3","Rechte Option","4.751","5.142","5.947","2","Rechte Option","8.668","8.668","10.051","1","männlich","20","1","24","1","0","1","1","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1","1","0","0","1","3","19","20","11","13","7","18","24","17","12","9","2","23","1","22","16","14","8","21","10","4","15","5","6","NA"
"2","2021-07-16 13:50:12","2021-07-16 13:55:07","IP Address","100","294","True","2021-07-16 13:55:07","R_1DD4TvJrKpFHS2W","anonymous","DE","Ich stimme zu","Linke Option","Linke Option","7.575","7.575","8.858","1","Linke Option","4.027","4.027","5.036","1","Linke Option","3.78","3.78","4.866","1","Rechte Option","5.061","5.061","6.011","1","Linke Option","6.632","6.632","9.365","1","Rechte Option","5.888","5.888","7.401","1","Linke Option","4.032","4.032","5.4","1","Linke Option","6.394","6.394","7.589","1","Linke Option","2.946","2.946","3.947","1","Rechte Option","13.652","13.652","14.941","1","Rechte Option","3.668","3.668","5.997","1","Rechte Option","4.366","4.366","5.213","1","Rechte Option","4.184","4.184","5.23","1","Rechte Option","5.661","5.661","6.789","1","Linke Option","2.952","2.952","5.088","1","Rechte Option","4.115","4.115","5.298","1","Rechte Option","3.805","3.805","4.968","1","Rechte Option","5.62","5.62","6.685","1","Linke Option","3.321","3.321","4.458","1","Rechte Option","3.264","3.264","4.663","1","Rechte Option","4.478","4.478","5.363","1","Linke Option","5.224","5.224","6.882","1","Linke Option","3.626","3.626","4.832","1","Linke Option","3.388","9.036","10.258","3","männlich","24","1","24","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0","1","1","1","1","15","24","20","6","3","2","22","23","16","7","21","9","14","13","18","19","8","17","10","11","4","12","5","NA"
"3","2021-07-16 13:51:26","2021-07-16 13:55:13","IP Address","100","227","True","2021-07-16 13:55:14","R_2tlEVHnJod4TPDh","anonymous","DE","Ich stimme zu","Linke Option","Linke Option","1.464","2.251","3.255","2","Linke Option","1.957","1.957","3.064","1","Rechte Option","3.324","3.324","3.839","1","Linke Option","3.169","3.169","4.049","1","Rechte Option","5.42","5.42","6.272","1","Rechte Option","2.821","2.821","3.381","1","Linke Option","2.818","2.818","3.584","1","Linke Option","2.098","2.534","3.063","2","Rechte Option","3.367","3.367","4.209","1","Rechte Option","3.8","3.8","4.461","1","Linke Option","3.254","3.254","3.988","1","Linke Option","2.499","2.499","3.273","1","Rechte Option","2.6","3.324","3.816","2","Linke Option","2.6","2.6","3.827","1","Linke Option","3.098","3.098","3.847","1","Rechte Option","2.08","2.277","3.016","2","Rechte Option","5.215","5.215","5.778","1","Linke Option","2.974","2.974","3.652","1","Linke Option","3.417","3.417","4.704","1","Linke Option","3.106","3.106","4.721","1","Rechte Option","3.836","3.836","4.644","1","Rechte Option","3.486","3.486","4.267","1","Linke Option","2.417","2.417","3.717","1","Linke Option","3.055","3.055","3.905","1","männlich","29","0","24","1","0","1","0","1","0","1","0","1","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","22","17","20","24","1","9","6","16","12","8","10","19","14","18","23","11","15","4","3","21","2","13","5","7","NA"
"4","2021-07-16 13:51:20","2021-07-16 13:55:31","IP Address","100","250","True","2021-07-16 13:55:31","R_3r1wtjVQnV7xxKw","anonymous","DE","Ich stimme zu","Linke Option","Linke Option","2.032","2.032","3.319","1","Linke Option","2.405","2.405","3.622","1","Rechte Option","2.39","2.39","3.535","1","Linke Option","3.498","3.498","7.757","1","Rechte Option","3.295","3.295","7.806","1","Linke Option","1.726","1.726","3.267","1","Linke Option","2.241","2.241","3.244","1","Rechte Option","1.965","1.965","2.822","1","Linke Option","1.78","1.78","3.377","1","Linke Option","2.203","2.203","3.373","1","Rechte Option","2.027","2.027","3.86","1","Rechte Option","2.466","2.466","3.248","1","Rechte Option","1.918","1.918","3.386","1","Rechte Option","2.087","2.087","3.53","1","Rechte Option","3.051","3.799","4.681","2","Rechte Option","3.808","3.808","5.159","1","Rechte Option","2.43","2.43","3.338","1","Rechte Option","2.546","2.546","3.528","1","Rechte Option","2.291","2.291","3.339","1","Linke Option","2.776","2.776","5.883","1","Rechte Option","6.6","6.6","8.977","1","Rechte Option","2.082","2.082","3.848","1","Rechte Option","1.991","1.991","2.969","1","Rechte Option","2.86","4.046","5.068","2","weiblich","29","0","24","1","0","0","1","1","1","1","0","0","0","1","0","0","0","0","1","1","1","1","1","0","0","0","0","12","11","14","3","2","23","21","24","6","20","15","13","18","9","7","4","8","17","22","10","1","16","5","19","NA"
"5","2021-07-16 13:52:42","2021-07-16 13:55:49","IP Address","100","186","True","2021-07-16 13:55:49","R_31aUsJ2d08oHpvx","anonymous","DE","Ich stimme zu","Linke Option","Rechte Option","1.349","1.349","1.999","1","Rechte Option","2.247","3.532","4.213","2","Linke Option","2.234","2.234","3.316","1","Linke Option","2.517","2.517","3.415","1","Rechte Option","1.694","1.694","2.369","1","Rechte Option","2.413","2.413","3.121","1","Linke Option","2.059","2.059","3.041","1","Linke Option","1.725","1.725","3.191","1","Rechte Option","1.651","1.651","2.334","1","Linke Option","1.646","1.646","2.621","1","Linke Option","2.197","2.197","2.871","1","Rechte Option","2.46","2.46","3.237","1","Rechte Option","1.715","1.715","2.832","1","Linke Option","1.589","1.589","2.466","1","Linke Option","9.882","9.882","11.424","1","Linke Option","1.668","1.668","2.839","1","Rechte Option","2.647","2.647","3.333","1","Rechte Option","1.742","1.742","2.301","1","Rechte Option","1.974","1.974","2.714","1","Rechte Option","5.922","5.922","6.991","1","Rechte Option","1.846","1.846","2.547","1","Linke Option","2.603","2.603","3.303","1","Linke Option","2.53","2.53","3.851","1","Linke Option","1.574","1.574","2.977","1","männlich","32","1","24","0","1","1","0","0","1","1","1","1","0","0","0","0","1","0","1","0","0","0","1","1","0","1","1","16","22","6","4","11","3","18","23","17","21","7","5","9","8","1","15","19","24","13","2","20","10","12","14","NA"
"6","2021-07-16 13:55:46","2021-07-16 14:01:13","IP Address","100","326","True","2021-07-16 14:01:13","R_yZUx2tTZVqwOTzH","anonymous","DE","Ich stimme zu","Linke Option","Rechte Option","3.057","3.057","4.096","1","Rechte Option","2.837","2.837","4.261","1","Linke Option","2.182","2.182","3.271","1","Linke Option","1.99","1.99","2.967","1","Rechte Option","2.027","2.027","2.711","1","Linke Option","1.424","1.977","3.001","2","Linke Option","1.597","1.597","2.605","1","Rechte Option","4.31","4.31","5.269","1","Linke Option","1.65","1.65","2.419","1","Linke Option","2.386","2.386","3.719","1","Linke Option","2.421","2.421","3.173","1","Rechte Option","2.148","2.148","2.666","1","Linke Option","1.581","1.581","2.377","1","Linke Option","1.877","1.877","3.133","1","Rechte Option","14.172","14.172","15.146","1","Linke Option","2.61","2.61","3.83","1","Rechte Option","1.458","1.458","2.354","1","Rechte Option","11.314","11.314","12.721","1","Linke Option","6.415","6.415","7.383","1","Linke Option","1.972","1.972","3.425","1","Linke Option","1.686","1.686","2.805","1","Linke Option","1.831","1.831","2.597","1","Rechte Option","1.555","1.987","2.77","2","Linke Option","2.494","2.494","3.801","1","weiblich","27","0","24","1","1","0","1","1","1","0","1","1","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","20","7","4","21","24","22","18","17","11","2","8","14","23","9","5","3","15","1","10","6","12","19","13","16","NA"
"7","2021-07-16 13:49:00","2021-07-16 14:06:02","IP Address","100","1021","True","2021-07-16 14:06:02","R_2SCeLbXjYQ2SwJQ","anonymous","DE","Ich stimme zu","Linke Option","Linke Option","1.734","1.734","3.037","1","Rechte Option","2.066","2.066","3.211","1","Linke Option","2.209","2.209","3.41","1","Linke Option","1.5","1.5","2.735","1","Rechte Option","2.301","2.851","3.589","2","Linke Option","1.801","1.801","3.307","1","Linke Option","1.612","1.612","2.692","1","Rechte Option","10.087","10.087","11.482","1","Rechte Option","1.185","1.185","2.301","1","Linke Option","1.099","1.099","2.096","1","Rechte Option","3.4","3.4","4.437","1","Rechte Option","2.743","2.743","4.301","1","Linke Option","1.629","1.629","2.807","1","Rechte Option","1.416","2.73","4.39","2","Rechte Option","7.553","7.553","8.617","1","Linke Option","1.258","2.929","3.726","2","Rechte Option","1.787","1.787","2.981","1","Rechte Option","2.381","2.381","3.127","1","Linke Option","4.971","4.971","6.27","1","Rechte Option","4.579","5.897","7.089","2","Rechte Option","1.342","1.342","2.48","1","Rechte Option","1.598","2.669","3.827","2","Rechte Option","1.597","2.077","2.9","2","Rechte Option","2.498","4.23","5.409","2","weiblich","21","1","24","1","0","0","1","0","0","0","0","0","1","1","1","0","0","0","1","0","0","1","0","1","0","0","1","6","14","16","4","15","13","18","20","17","24","3","9","23","7","21","8","22","12","19","1","10","5","11","2","NA"
"8","2021-07-16 13:54:54","2021-07-16 14:11:01","IP Address","100","967","True","2021-07-16 14:11:01","R_333xmb1lxH6hjhC","anonymous","DE","Ich stimme zu","Rechte Option","Rechte Option","30.416","30.416","31.922","1","Linke Option","17.3","17.3","18.881","1","Rechte Option","16.994","16.994","19.021","1","Linke Option","10.211","10.211","11.87","1","Linke Option","33.563","33.563","35.425","1","Linke Option","8.897","8.897","10.402","1","Rechte Option","10.751","10.751","12.895","1","Linke Option","24.537","24.537","28.92","1","Rechte Option","8.432","8.432","10.143","1","Linke Option","11.818","11.818","13.754","1","Rechte Option","17.263","17.263","19.354","1","Rechte Option","29.241","29.241","30.755","1","Linke Option","9.676","9.676","11.315","1","Rechte Option","41.479","41.479","43.655","1","Rechte Option","12.302","12.302","13.798","1","Rechte Option","26.538","26.538","28.077","1","Rechte Option","21.026","21.026","22.385","1","Linke Option","11.763","11.763","13.169","1","Linke Option","20.347","20.347","22.068","1","Rechte Option","9.014","9.014","10.646","1","Rechte Option","15.487","15.487","17.522","1","Linke Option","14.209","14.209","15.616","1","Rechte Option","43.137","43.137","44.554","1","Linke Option","14.253","14.253","15.751","1","weiblich","40","0","24","0","1","1","1","0","0","1","0","1","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","16","4","1","12","8","19","2","15","23","9","21","11","22","10","3","7","17","14","18","13","20","6","5","24","NA"
"9","2021-07-16 14:04:10","2021-07-16 14:12:22","IP Address","100","491","True","2021-07-16 14:12:22","R_1IE2Y692EOwSGP0","anonymous","DE","Ich stimme zu","Linke Option","Linke Option","5.5","5.5","7.627","1","Linke Option","6.991","6.991","9.651","1","Rechte Option","5.82","5.82","8.612","1","Rechte Option","9.932","9.932","16.504","1","Linke Option","6.553","6.553","7.788","1","Linke Option","5.601","5.601","7.122","1","Rechte Option","4.873","4.873","6.887","1","Linke Option","4.503","4.503","6.031","1","Rechte Option","5.43","5.43","6.98","1","Rechte Option","8.834","8.834","13.085","1","Rechte Option","3.582","3.582","5.698","1","Linke Option","7.433","7.433","8.963","1","Rechte Option","3.899","3.899","5.615","1","Linke Option","7.133","7.133","8.589","1","Rechte Option","7.826","7.826","9.617","1","Rechte Option","4.663","4.663","6.444","1","Linke Option","4.071","4.071","5.645","1","Linke Option","7.886","8.838","10.199","2","Linke Option","6.231","6.231","8.208","1","Linke Option","4.482","4.482","6.685","1","Linke Option","4.748","4.748","6.53","1","Rechte Option","12.29","12.29","13.535","1","Linke Option","4.562","4.562","6.071","1","Linke Option","5.516","5.516","6.93","1","männlich","23","1","24","1","0","1","0","1","1","0","1","0","0","1","0","0","1","0","0","1","1","0","0","1","1","1","1","9","6","2","1","12","20","8","22","19","4","15","11","7","18","17","24","23","13","21","10","5","3","14","16","NA"
"10","2021-07-16 13:47:47","2021-07-16 14:17:04","IP Address","100","1756","True","2021-07-16 14:17:04","R_1P64R4FYbtRl7Hm","anonymous","DE","Ich stimme zu","Rechte Option","Rechte Option","4.328","4.328","6.143","1","Linke Option","5.528","7.794","9.655","2","Linke Option","9.312","9.312","11.017","1","Rechte Option","6.529","6.529","7.922","1","Linke Option","15.288","15.288","16.481","1","Linke Option","3.792","3.792","4.882","1","Rechte Option","4.113","4.113","5.327","1","Rechte Option","7.656","7.656","8.975","1","Linke Option","5.976","5.976","7.657","1","Linke Option","7.292","7.292","8.824","1","Linke Option","11.145","11.145","12.49","1","Linke Option","10.195","13.028","14.303","2","Rechte Option","4.114","4.114","5.682","1","Rechte Option","5.348","5.348","8.161","1","Linke Option","3.979","3.979","5.93","1","Rechte Option","4.856","6.324","10.642","2","Rechte Option","5.377","5.377","7.037","1","Rechte Option","4.907","4.907","7.131","1","Linke Option","8.49","8.49","10.942","1","Rechte Option","3.993","3.993","6.908","1","Rechte Option","4.464","4.464","6.003","1","Rechte Option","16.902","16.902","18.483","1","Linke Option","4.365","4.365","5.561","1","Linke Option","18.324","18.324","19.503","1","weiblich","20","1","24","1","0","0","1","1","1","0","0","1","1","0","1","1","1","0","0","0","1","0","1","1","1","1","1","4","22","1","20","15","16","14","3","5","12","21","24","11","8","17","13","19","23","9","6","2","10","18","7","NA"
